Filename,Timestamp,UserID,Emotion,Gender,Age
Neutral_Female_(4-6)_2025-05-04_20-09-12.jpg,2025-05-04 20:09:12.711435,user_1,Neutral,Female,(4-6)
Neutral_Female_(25-32)_2025-05-04_20-09-13.jpg,2025-05-04 20:09:13.079708,user_1,Neutral,Female,(25-32)
Sad_Female_(25-32)_2025-05-04_20-09-13.jpg,2025-05-04 20:09:13.454176,user_1,Sad,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_20-09-13.jpg,2025-05-04 20:09:13.838451,user_1,Neutral,Female,(25-32)
Neutral_Female_(25-32)_2025-05-04_20-09-14.jpg,2025-05-04 20:09:14.244490,user_1,Neutral,Female,(25-32)
Neutral_Female_(4-6)_2025-05-04_20-09-14.jpg,2025-05-04 20:09:14.652649,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-15.jpg,2025-05-04 20:09:15.084188,user_1,Neutral,Female,(4-6)
Fear_Female_(4-6)_2025-05-04_20-09-15.jpg,2025-05-04 20:09:15.390315,user_1,Fear,Female,(4-6)
Sad_Female_(0-2)_2025-05-04_20-09-16.jpg,2025-05-04 20:09:16.030615,user_1,Sad,Female,(0-2)
Sad_Female_(0-2)_2025-05-04_20-09-16.jpg,2025-05-04 20:09:16.470918,user_1,Sad,Female,(0-2)
Fear_Female_(25-32)_2025-05-04_20-09-16.jpg,2025-05-04 20:09:16.921251,user_1,Fear,Female,(25-32)
Sad_Female_(0-2)_2025-05-04_20-09-17.jpg,2025-05-04 20:09:17.365896,user_1,Sad,Female,(0-2)
Neutral_Female_(4-6)_2025-05-04_20-09-17.jpg,2025-05-04 20:09:17.869861,user_1,Neutral,Female,(4-6)
Neutral_Female_(4-6)_2025-05-04_20-09-18.jpg,2025-05-04 20:09:18.253209,user_1,Neutral,Female,(4-6)
Sad_Female_(4-6)_2025-05-04_20-09-18.jpg,2025-05-04 20:09:18.616283,user_1,Sad,Female,(4-6)
Sad_Female_(4-6)_2025-05-04_20-09-19.jpg,2025-05-04 20:09:19.157005,user_1,Sad,Female,(4-6)
Sad_Female_(4-6)_2025-05-04_20-09-19.jpg,2025-05-04 20:09:19.496754,user_1,Sad,Female,(4-6)
Sad_Female_(4-6)_2025-05-04_20-09-19.jpg,2025-05-04 20:09:19.886728,user_1,Sad,Female,(4-6)
Sad_Female_(4-6)_2025-05-04_20-09-20.jpg,2025-05-04 20:09:20.314057,user_1,Sad,Female,(4-6)
Neutral_Female_(25-32)_2025-05-04_20-09-20.jpg,2025-05-04 20:09:20.878621,user_1,Neutral,Female,(25-32)
